gene_id	log2FC_RNA	lfcSE_RNA	pvalue_RNA	padj_RNA	baseMean_counts_RNA	log2FC_basis_RNA	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus
MM_RS08255	-3.75585052413018	0.991339873623027	0.000151461541775132	0.00201191414657967	33.2198457434354	raw_counts / DESeq2 median-of-ratios	0.411	0.028	85.55	6.104	85.55	6.104
MM_RS10150	2.11086122049995	0.557838189102415	0.000154326139998911	0.00201635956687101	67.0540351670756	raw_counts / DESeq2 median-of-ratios	0.148	0.557	31.436	120.82	31.436	120.82
MM_RS01115	2.01425937667172	0.531956524074368	0.000152777166382258	0.00201635956687101	88.398618455894	raw_counts / DESeq2 median-of-ratios	0.072	0.254	15.309	55.06	15.309	55.06
MM_RS09225	1.53865412534897	0.406515023957595	0.000153716546180961	0.00201635956687101	629.590277581671	raw_counts / DESeq2 median-of-ratios	0.716	1.838	153.123	395.735	153.123	395.735
MM_RS05915	1.75278340651876	0.46470510971483	0.000162062017517032	0.00210592545588708	221.1006418165	raw_counts / DESeq2 median-of-ratios	0.18	0.552	38.586	117.908	38.586	117.908
MM_RS05265	-1.49748325000874	0.397531926865039	0.000165253485093721	0.00213578963707615	1551.90810917778	raw_counts / DESeq2 median-of-ratios	8.391	2.944	1781.107	620.201	1781.107	620.201
MM_RS02370	-1.51160996687386	0.401785876738407	0.000168406598133523	0.0021648396566519	445.2952874057	raw_counts / DESeq2 median-of-ratios	1.65	0.546	348.865	116.39	348.865	116.39
MM_RS11330	-2.51176777500526	0.674505340085072	0.000196194774939027	0.0024952218451022	55.4669317323856	raw_counts / DESeq2 median-of-ratios	0.263	0.042	55.243	9.152	55.243	9.152
MM_RS01605	1.4609077552875	0.392270391378215	0.00019590711949643	0.0024952218451022	688.22562125916	raw_counts / DESeq2 median-of-ratios	0.591	1.593	125.459	336.574	125.459	336.574
MM_RS16095	2.04741702398058	0.551038420363695	0.000202753109516229	0.00255216903528135	67.6071705941709	raw_counts / DESeq2 median-of-ratios	0.179	0.729	37.945	153.534	37.945	153.534
MM_RS12940	-1.6002204314991	0.430688495189745	0.000202807242452303	0.00255216903528135	181.404327524719	raw_counts / DESeq2 median-of-ratios	0.493	0.146	104.999	31.368	104.999	31.368
MM_RS07100	2.04917411662015	0.553718245407844	0.000214961160344961	0.0026909535831665	59.3665531522246	raw_counts / DESeq2 median-of-ratios	0.067	0.269	14.294	56.993	14.294	56.993
MM_RS13045	-1.62632893172749	0.440594619057432	0.000223186445540136	0.00277936870461701	174.576004629714	raw_counts / DESeq2 median-of-ratios	0.16	0.049	34.281	10.353	34.281	10.353
MM_RS03400	-2.00227992682686	0.546408094721912	0.000247879898444307	0.0030708851667375	60.6642451961591	raw_counts / DESeq2 median-of-ratios	0.199	0.046	42.165	9.877	42.165	9.877
MM_RS06490	1.72727192195441	0.471925863306525	0.000252166734923887	0.00310789001651038	619.197852323369	raw_counts / DESeq2 median-of-ratios	1.353	4.099	284.545	881.953	284.545	881.953
MM_RS09580	1.6814364070941	0.460668105351909	0.00026224513451316	0.00321552880318443	137.995450860659	raw_counts / DESeq2 median-of-ratios	0.116	0.328	24.666	70.921	24.666	70.921
